galaxy,fit_status,n_points,Q,Inc_deg,Rdisk_kpc,Vflat_kms,Rmax_kpc,radial_break_kpc,n_inner,n_outer,quality_primary,upsilon_disk,upsilon_bulge,nfw_full_success,nfw_full_params,nfw_full_weighted_mse,nfw_full_relative_rmse,nfw_full_mean_abs_fractional_error,nfw_outer_success,nfw_outer_params,nfw_outer_fit_weighted_mse,nfw_outer_full_weighted_mse,nfw_outer_relative_rmse,nfw_outer_mean_abs_fractional_error,iso_full_success,iso_full_params,iso_full_weighted_mse,iso_full_relative_rmse,iso_full_mean_abs_fractional_error,log_full_success,log_full_params,log_full_weighted_mse,log_full_relative_rmse,log_full_mean_abs_fractional_error,iso_beats_nfw_full,log_beats_nfw_full,inner_gap_mean_norm_after_outer_nfw,inner_gap_negative_fraction_after_outer_nfw,central_overshoot_after_outer_nfw,inner_gap_density_mean,inner_gap_density_negative_fraction,nfw_full_outer_slope_mean,nfw_outer_outer_slope_mean,target_outer_slope_mean,nfw_full_shallow_outer,skip_reason
CamB,ok,9,2.0,65.0,0.47,0.0,1.79,1.034,5.0,4.0,True,0.5,0.7,True,"{""nfw_amp"": 0.005088120498906464, ""nfw_r_s_kpc"": 453.1628770153369}",4.624617614125989,1.000000000039757,1.000000000078779,True,"{""nfw_outer_amp"": 10534118995.848413, ""nfw_outer_r_s_kpc"": 9999.999999798658}",2.528597342854324,8.160126300736728,1.3423032200249472,1.6360050199910487,True,"{""iso_v0_kms"": 9714.447561171153, ""iso_r_c_kpc"": 2542.549221838203}",4.446730026933548,0.9842923845481013,1.0013599709727101,True,"{""log_amp"": 1.3297089436847534e-05, ""log_r0_kpc"": 578.6750128859109}",4.624617614417247,1.0000000000736764,1.0000000001461247,True,False,-1.635133134136564,1.0,True,-109520.01741776001,0.6,-0.004062489859938623,-0.00018460720416113574,63.176429532150166,True,
D512-2,skipped,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,too few points or zero residual scale
D564-8,ok,6,2.0,63.0,0.61,0.0,3.07,1.4025,3.0,4.0,False,0.5,0.7,True,"{""nfw_amp"": 34654499664.36126, ""nfw_r_s_kpc"": 9999.99999963065}",0.7143209384656316,0.2438036678117335,0.27334349134930763,True,"{""nfw_outer_amp"": 103831.95975022616, ""nfw_outer_r_s_kpc"": 14.963075545642482}",0.006472376334210495,1.5140400015238973,0.3589416847667534,0.3617404727839199,True,"{""iso_v0_kms"": 28.1600297740922, ""iso_r_c_kpc"": 2.01479323145487}",0.02720821223561413,0.046891980600073775,0.04696028023152538,True,"{""log_amp"": 1732615.4063688975, ""log_r0_kpc"": 9999.99999999999}",0.7141938384675163,0.24378346552174962,0.27331281139997077,True,True,-0.41928953432778066,1.0,True,-366298.9811820967,0.3333333333333333,-0.0003077831125253283,-0.17914718112493855,-0.20098762654647384,True,
D631-7,ok,16,1.0,59.0,0.7,57.7,7.19,2.8025,6.0,10.0,True,0.5,0.7,True,"{""nfw_amp"": 73098209267.85608, ""nfw_r_s_kpc"": 9999.999985757659}",7.569749601825217,0.4767535444067078,1.7021839229416504,True,"{""nfw_outer_amp"": 91733065738.21059, ""nfw_outer_r_s_kpc"": 9999.999999778283}",0.5381745887657894,9.74727157716675,0.5586691546598483,2.0889748012953313,True,"{""iso_v0_kms"": 81.22680980572497, ""iso_r_c_kpc"": 6.699026086225509}",0.916080218861649,0.16243600459817734,0.555549962321212,True,"{""log_amp"": 3654528.4921027757, ""log_r0_kpc"": 9999.99999999976}",7.568150997217379,0.47670211916497357,1.7020263328758296,True,True,-1.5157153098156655,1.0,True,-1575011.7876261945,0.8333333333333334,-0.0006890601147542697,-0.0006890601152331755,-0.08636002293131106,True,
DDO064,ok,14,1.0,60.0,0.69,46.1,2.98,1.518,8.0,6.0,True,0.5,0.7,True,"{""nfw_amp"": 128920116963.41054, ""nfw_r_s_kpc"": 9999.999999838306}",0.49713551369731473,0.28957148492370766,0.31681897095673245,True,"{""nfw_outer_amp"": 7816.031326562068, ""nfw_outer_r_s_kpc"": 1.071040214327306}",0.004851293227147527,9.744744009325936,1.6917649285522809,1.6274449932444812,True,"{""iso_v0_kms"": 53.36092926226867, ""iso_r_c_kpc"": 1.917854763729909}",0.2559843936522292,0.25840682839090795,0.25778019537794555,True,"{""log_amp"": 6445687.9531442, ""log_r0_kpc"": 9999.99999999999}",0.49709417839495035,0.2895574862936768,0.3167985586793526,True,True,-2.171423676418913,1.0,True,-31552561.693190556,0.625,-0.0002943548820462105,-0.9754318204514743,-0.8600784878031963,True,
DDO154,ok,12,2.0,64.0,0.37,47.0,5.92,2.395,4.0,8.0,True,0.5,0.7,True,"{""nfw_amp"": 1134696.030920776, ""nfw_r_s_kpc"": 34.434637020595964}",3.8971586589091074,0.23677421328545747,0.22995495294852178,True,"{""nfw_outer_amp"": 92153.88716418565, ""nfw_outer_r_s_kpc"": 7.812664464485135}",0.8178439621637523,10.243078000792137,0.4410230958890993,0.3736033051520023,True,"{""iso_v0_kms"": 49.35464883475739, ""iso_r_c_kpc"": 2.4934712251714855}",0.38271425566378264,0.045085019176218925,0.04380938702478507,True,"{""log_amp"": 12296.361837880424, ""log_r0_kpc"": 25.775468218901324}",3.919245247270956,0.23605423229036035,0.22967345887724677,True,False,-0.7321401752088511,1.0,True,568886.6356416421,0.0,-0.1454954958234569,-0.47551633530591,-0.7453168490566258,True,
DDO161,ok,31,1.0,70.0,1.22,66.3,13.37,4.135,11.0,20.0,True,0.5,0.7,True,"{""nfw_amp"": 70369451.28314725, ""nfw_r_s_kpc"": 340.5348268897321}",0.7045444186399235,0.2709019806260007,0.27095437518684146,True,"{""nfw_outer_amp"": 2600320.23906102, ""nfw_outer_r_s_kpc"": 59.690975503229694}",0.3214908216556491,0.9309707478871264,0.3779408766466751,0.3640467170693871,True,"{""iso_v0_kms"": 68.42147670009197, ""iso_r_c_kpc"": 7.300961199828819}",0.17741633632467635,0.18047421044666806,0.1515917828766724,True,"{""log_amp"": 78781.6290739919, ""log_r0_kpc"": 259.8816288824497}",0.7048223215754177,0.27044638136874066,0.27058713480755225,True,False,-0.8568804568728785,1.0,True,-4822825.186810604,0.9090909090909091,-0.03387282816253858,-0.17288954006792262,-0.09419077739195388,True,
DDO168,ok,10,2.0,63.0,1.02,53.4,4.12,2.244,5.0,5.0,True,0.5,0.7,True,"{""nfw_amp"": 109827931959.01398, ""nfw_r_s_kpc"": 9999.999989910106}",6.371815196359468,0.40032727339807794,0.632875047165314,True,"{""nfw_outer_amp"": 22316.0262172655, ""nfw_outer_r_s_kpc"": 2.148400442269806}",0.16493565749339498,62.58389979290403,1.4284691962139517,2.2556617092245377,True,"{""iso_v0_kms"": 68.4805093140248, ""iso_r_c_kpc"": 3.5107803917064966}",2.0438889018632667,0.19589079283961525,0.24659921923495748,True,"{""log_amp"": 5491001.1182564935, ""log_r0_kpc"": 9999.999999999955}",6.371095002537413,0.4003005638954019,0.6328341155637576,True,True,-2.600276377730346,1.0,True,146979.39920442208,0.4,-0.00044020961660038436,-0.864207928937519,-1.1070146050961847,True,
DDO170,ok,8,2.0,66.0,1.95,60.0,12.33,5.5305,3.0,5.0,True,0.5,0.7,True,"{""nfw_amp"": 284484.2328093528, ""nfw_r_s_kpc"": 16.212706665959043}",1.0382659339455511,0.2105367769836831,0.127738323754755,True,"{""nfw_outer_amp"": 202050.44986317298, ""nfw_outer_r_s_kpc"": 12.87220941915306}",0.21662627270576537,1.1725958926769944,0.25045421111484417,0.1460907912920452,True,"{""iso_v0_kms"": 56.61555303117984, ""iso_r_c_kpc"": 3.8430573194628086}",0.3584988340891659,0.06826827118637527,0.05749705552575968,True,"{""log_amp"": 5700.612571958243, ""log_r0_kpc"": 10.238128091989736}",1.1001740880306539,0.21485545358329824,0.13016274365858116,True,False,-0.19161675432802094,0.6666666666666666,False,-317166.78512948187,0.6666666666666666,-0.5007862628752132,-0.5798222939803341,-0.41677587764821206,True,
ESO079-G014,ok,15,1.0,79.0,5.08,175.0,16.67,9.699999999999998,10.0,5.0,True,0.5,0.7,True,"{""nfw_amp"": 299994163916.56647, ""nfw_r_s_kpc"": 9999.99935681273}",2.3624803207184266,0.2902558728364813,0.3522987374730745,True,"{""nfw_outer_amp"": 2555616.2242929935, ""nfw_outer_r_s_kpc"": 20.573611851498264}",0.0007072887159251787,7.5370992154823755,0.665189384569385,0.7845668351009429,True,"{""iso_v0_kms"": 169.11364388479342, ""iso_r_c_kpc"": 8.167547891150145}",0.5840315040154385,0.3260791539679943,0.2361550703906699,True,"{""log_amp"": 12860815.971176498, ""log_r0_kpc"": 8575.758926537994}",2.3624808577981273,0.290224609151909,0.3522447067333004,True,False,-0.6434897668122944,0.9,True,-30172447.118362896,0.5,-0.0017810638520174393,-0.5433274148019634,-0.5829432336666521,True,
