galaxy,R_kpc,Vobs_kms,e_Vobs_kms,Vbar2_kms2,delta_g_obs,sigma_delta_g,nfw_full_delta_g,nfw_outer_delta_g,iso_full_delta_g,log_full_delta_g,gap_nfw_full,gap_nfw_outer,gap_density_proxy_nfw_outer,is_inner,is_outer
CamB,0.16,1.99,1.5,10.49085,-40.817187499999996,37.33301675253055,1.2382670706583628e-08,52.669471361616715,2.33570214151591,2.2972158112122373e-08,-40.81718751238267,-93.48665886161672,12145024.385935994,True,False
CamB,0.41,4.84,1.5,62.81805000000001,-96.07914634146344,35.52967079040724,1.2373570969715574e-08,52.66771578840508,5.985236605700301,2.2962240674440106e-08,-96.07914635383702,-148.74686212986853,-6183682.522423103,True,False
CamB,0.57,6.79,1.5,100.6209,-95.64350877192985,35.96494951183461,1.2367753058374152e-08,52.6665922724851,8.32093849390252,2.295589800695712e-08,-95.6435087842976,-148.31010104441495,-5076111.6428239355,True,False
CamB,0.73,8.87,1.5,139.9521,-83.93863013698632,36.84822620186899,1.2361939761530095e-08,52.66546879799308,10.656640184396519,2.2949558842470403e-08,-83.93863014934826,-136.6040989349794,-2163908.421490042,True,False
CamB,0.9,10.9,1.5,169.8929,-56.75877777777777,36.92801707041804,1.235576818392868e-08,52.66427514999753,13.138322951841777,2.2942827315202185e-08,-56.75877779013354,-109.4230529277753,731078.113712287,True,False
CamB,1.06,12.9,1.5,187.36239999999998,-19.766415094339607,37.34372588276442,1.2349964388054974e-08,52.6631517581343,15.474024059291729,2.293649536648624e-08,-19.76641510668957,-72.4295668524739,4222961.840759073,False,True
CamB,1.22,14.7,1.5,188.80565,22.36422131147538,37.21661011469456,1.2344165190773028e-08,52.662028406934425,17.8097247990739,2.2930166911891717e-08,22.364221299131213,-30.297807095459046,3667106.094342569,False,True
CamB,1.47,16.8,1.5,191.6914,61.59768707482995,35.604356532335096,1.2335113138856992e-08,52.66027325164135,21.459256336995963,2.292028568978234e-08,61.597687062494835,8.9374138231886,500281.6108085359,False,True
CamB,1.79,20.1,1.5,158.90215,136.93175977653632,35.52716945871337,1.2323542844953279e-08,52.658026797060565,26.130654860261277,2.2907650145420648e-08,136.93175976421279,84.27373297947577,-75471.61811658881,False,True
D564-8,0.51,8.54,1.53,32.2657,79.73705882352938,51.736470145941155,173.26071647902407,221.73001809843285,93.62756851078566,173.2527047489477,-93.52365765549469,-141.99295927490346,-1536831.548556608,True,False
D564-8,1.02,15.1,1.41,65.9067,158.9248039215686,43.217373506372546,173.24893597864758,212.30893300101016,158.6039312202031,173.24386976217417,-14.32413205707897,-53.38412907944155,281325.8331019698,True,False
D564-8,1.53,19.8,1.8,81.50965,202.96101307189542,48.317750182505,173.23715682821373,203.5428232985076,189.56487892627948,173.2350356764314,29.723856243681695,-0.5818102266121912,156608.77190834784,True,True
D564-8,2.04,21.9,1.82,85.34085,193.26919117647057,40.806298974640974,173.22537902937768,195.36885247939108,196.77602057895047,173.2262024915816,20.043812147092893,-2.0996613029205093,85995.33183247088,False,True
D564-8,2.56,24.0,1.89,83.07695,192.54806640625,37.18035645673667,173.21337168391253,187.5870897488598,191.2794689432509,173.2171970344491,19.334694722337474,4.960976657390205,43219.98339097557,False,True
D564-8,3.07,25.0,2.05,78.82285,177.9078664495114,34.90484881131562,173.20159661355368,180.44739153214846,180.54125365637972,173.20836566862965,4.706269835957727,-2.5395250826370557,-41409.9854822207,False,True
