target,bootstrap,mode,best_abs_correlation
positive_delta_g,0,1,0.988019466081095
positive_delta_g,0,2,0.8374194081640284
positive_delta_g,0,3,0.9960613537596062
positive_delta_g,0,4,0.9143623165416256
positive_delta_g,0,5,0.6880000969228979
positive_delta_g,0,6,0.7684754419360013
positive_delta_g,1,1,0.9840861284884447
positive_delta_g,1,2,0.8050755635537545
positive_delta_g,1,3,0.9994137803828838
positive_delta_g,1,4,0.9962337383843861
positive_delta_g,1,5,0.998879887336358
positive_delta_g,1,6,0.8410221116472911
positive_delta_g,2,1,0.9996085191137583
positive_delta_g,2,2,0.9678880334572163
positive_delta_g,2,3,0.9920744723859447
positive_delta_g,2,4,0.9984444280968696
positive_delta_g,2,5,0.9982809809297775
positive_delta_g,2,6,0.6226652451293785
positive_delta_g,3,1,0.9996636306244832
positive_delta_g,3,2,0.9725135965710973
positive_delta_g,3,3,0.9979238376450197
positive_delta_g,3,4,0.9968852427983199
positive_delta_g,3,5,0.9928092332209161
positive_delta_g,3,6,0.8928925534364083
positive_delta_g,4,1,0.9781820848351165
positive_delta_g,4,2,0.8207782739689924
positive_delta_g,4,3,0.7107026755651493
positive_delta_g,4,4,0.9938114661160548
positive_delta_g,4,5,0.9984476991205568
positive_delta_g,4,6,0.7952052636396656
positive_delta_g,5,1,0.9944996742854932
positive_delta_g,5,2,0.9672179597058999
positive_delta_g,5,3,0.9971869506961103
positive_delta_g,5,4,0.981207118670719
positive_delta_g,5,5,0.7678767740198602
positive_delta_g,5,6,0.841405589658252
positive_delta_g,6,1,0.9961301453248553
positive_delta_g,6,2,0.9534677638083194
positive_delta_g,6,3,0.9970670693126136
positive_delta_g,6,4,0.9980643386321102
positive_delta_g,6,5,0.9944936825449731
positive_delta_g,6,6,0.5681170175232173
positive_delta_g,7,1,0.9676191953980569
positive_delta_g,7,2,0.8091654130924081
positive_delta_g,7,3,0.7581278977427879
positive_delta_g,7,4,0.9848413591374308
positive_delta_g,7,5,0.9987907665124037
positive_delta_g,7,6,0.8318619349917042
positive_delta_g,8,1,0.9759431683624893
positive_delta_g,8,2,0.776892958708331
positive_delta_g,8,3,0.9861492567636772
positive_delta_g,8,4,0.9912761257288336
positive_delta_g,8,5,0.9976936233915099
positive_delta_g,8,6,0.8606976690808154
positive_delta_g,9,1,0.9982206722484198
positive_delta_g,9,2,0.7237370163407582
positive_delta_g,9,3,0.9942868019575873
positive_delta_g,9,4,0.99611525549929
positive_delta_g,9,5,0.9922836657573636
positive_delta_g,9,6,0.8425061057129077
positive_delta_g,10,1,0.9880532687811014
positive_delta_g,10,2,0.7876149228402212
positive_delta_g,10,3,0.9957408910219374
positive_delta_g,10,4,0.9947673047155814
positive_delta_g,10,5,0.9398371042771235
positive_delta_g,10,6,0.872204938311009
positive_delta_g,11,1,0.9755440202614919
positive_delta_g,11,2,0.7851896743415576
positive_delta_g,11,3,0.6767132473880026
positive_delta_g,11,4,0.9948199928930216
positive_delta_g,11,5,0.991111779582285
positive_delta_g,11,6,0.8729872019422867
positive_delta_g,12,1,0.999902739013929
positive_delta_g,12,2,0.7800737275384407
positive_delta_g,12,3,0.8696209492045409
positive_delta_g,12,4,0.9965694311655318
positive_delta_g,12,5,0.9958712013399174
positive_delta_g,12,6,0.7509427347720571
positive_delta_g,13,1,0.9821893787422906
positive_delta_g,13,2,0.9422580313863401
positive_delta_g,13,3,0.9986840266192327
positive_delta_g,13,4,0.9861153444649061
positive_delta_g,13,5,0.7939720762278882
positive_delta_g,13,6,0.6886446102936938
positive_delta_g,14,1,0.9954802774781005
positive_delta_g,14,2,0.9880049178241125
positive_delta_g,14,3,0.9979042992955195
positive_delta_g,14,4,0.9924104536122302
positive_delta_g,14,5,0.9890244270510096
positive_delta_g,14,6,0.9008045959617622
positive_delta_g,15,1,0.9866385154892482
positive_delta_g,15,2,0.6852878976607932
positive_delta_g,15,3,0.9885156808792709
positive_delta_g,15,4,0.9436367972970788
positive_delta_g,15,5,0.9860562683277071
positive_delta_g,15,6,0.8414931927556876
positive_delta_g,16,1,0.9426733792450784
positive_delta_g,16,2,0.8086663506548575
positive_delta_g,16,3,0.9373491214074999
positive_delta_g,16,4,0.9794567016548058
positive_delta_g,16,5,0.9843846377514422
positive_delta_g,16,6,0.8410051250246469
positive_delta_g,17,1,0.9938866177380346
positive_delta_g,17,2,0.9583089255687551
positive_delta_g,17,3,0.9962080105673019
positive_delta_g,17,4,0.8547057214196028
positive_delta_g,17,5,0.6831013064572009
positive_delta_g,17,6,0.7563546049449865
positive_delta_g,18,1,0.9980297799310999
positive_delta_g,18,2,0.9891674507869426
