galaxy,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
CamB,0.47,0.0,9,0.6805555555555556,77.2784502522029,True,False,True,-1.635133134136564,1.000000000039757,0.9842923845481012
D631-7,0.7,57.7,16,0.7222222222222222,417.0874290352199,True,True,True,-1.5157153098156655,0.4767535444067078,0.1624360045981773
DDO064,0.69,46.1,14,0.8194444444444444,649.1999963357367,True,True,True,-2.171423676418913,0.2895714849237076,0.2584068283909079
DDO154,0.37,47.0,12,0.5138888888888888,429.53188063063055,True,False,True,-0.7321401752088511,0.2367742132854574,0.0450850191762189
DDO161,1.22,66.3,31,0.8055555555555556,283.3412757201646,True,False,True,-0.8568804568728785,0.2709019806260007,0.180474210446668
DDO168,1.02,53.4,10,0.6527777777777778,566.9456128640777,True,True,True,-2.600276377730346,0.4003272733980779,0.1958907928396152
DDO170,1.95,60.0,8,0.5416666666666666,331.684971868813,True,False,False,-0.1916167543280209,0.2105367769836831,0.0682682711863752
ESO079-G014,5.08,175.0,15,0.7361111111111112,1532.2896669161676,True,False,True,-0.6434897668122944,0.2902558728364813,0.3260791539679943
ESO116-G012,1.51,109.1,15,0.9305555555555556,1381.018826768874,True,False,True,-0.6797263066165374,0.2010972603477228,0.2022567828107298
ESO563-G021,5.45,314.6,30,0.9861111111111112,3481.8952940869826,True,False,False,-0.7757510425460835,0.6641604690216942,0.4311172843349894
F568-3,4.99,0.0,18,0.7638888888888888,840.5027967096203,True,True,False,0.0564520938542622,0.4331172213354495,0.2202421319589017
F568-V1,2.85,112.3,15,0.9166666666666666,1664.1943341870858,True,False,True,-0.4478010710545007,0.5052343839264967,0.0722158414700284
F571-8,3.56,139.7,13,0.8194444444444444,1672.8176940731032,True,True,True,-1.4514406791706274,1.1132837989861752,0.8159366417780421
F574-1,4.46,97.8,14,0.6944444444444444,983.677814534313,True,False,True,-0.651930197521813,0.3222281497895203,0.0626731560890878
F583-1,2.36,85.8,25,0.9444444444444444,721.5980637636083,True,False,True,-0.9832325573559194,0.3844240920324252,0.2245113831973204
F583-4,1.93,0.0,12,0.7777777777777778,588.8303189811917,False,True,False,0.0134613857680155,0.1664459905740594,0.2061846882797526
IC2574,2.78,66.4,34,0.7083333333333334,273.1022297557992,True,True,True,-0.477876474988598,0.3767628386485591,0.1372712507834435
IC4202,4.78,242.6,32,0.8888888888888888,3979.067176437043,True,True,False,-0.4961145604516455,0.9676031153468446,0.8894781656842603
KK98-251,1.34,33.7,15,0.6388888888888888,213.95607745076484,True,True,True,-1.610191386313168,0.4102883467304865,0.1359278684382929
NGC0024,1.34,106.3,29,1.0,3580.62899103139,True,False,True,-0.2670392258719555,0.3340210223859662,0.1080713904427786
NGC0055,6.11,85.6,21,0.625,479.0613858695653,True,True,True,-0.5135297252575544,0.2219661619636956,0.0725047744059388
NGC0100,1.66,88.1,21,0.9027777777777778,765.6968796992479,True,True,True,-0.8724116928758939,0.3238578947500301,0.061004825856757
NGC0247,3.74,104.9,26,0.75,838.1642590527624,False,False,False,0.0689511049583253,0.1239726684393343,0.1707855523745081
NGC0289,6.74,163.0,28,1.0,1899.112208379829,False,True,False,0.3936738634834794,0.5916294837401356,0.7626407080748212
NGC0300,1.75,93.3,25,0.7222222222222222,962.9290066181007,True,False,False,-0.0187451095282832,0.1827239558362437,0.1120517279157171
NGC0801,8.72,220.1,13,0.9444444444444444,3162.6517139480034,True,True,False,0.3492572006032196,0.7912811236968506,0.6874809599167611
NGC0891,2.55,216.1,18,0.8333333333333334,3584.8517388111536,True,True,True,-0.8606894572366669,1.084893458136537,0.9993856690951208
NGC1003,1.61,109.8,36,0.6666666666666666,602.0561571420582,False,True,False,0.1496127059070421,0.192803607620898,0.1790986171820375
NGC1090,3.53,164.4,24,1.0,1221.8770805926254,True,False,False,-0.559768508536927,0.8732443692269534,0.5202708966427029
NGC2403,1.39,131.2,73,1.0,1819.9691674834633,False,True,False,0.0390552740176021,0.1803454644566505,0.4606127437187147
NGC2683,2.18,154.0,11,0.5138888888888888,1695.342056357199,False,False,False,0.1225507730997325,0.189906831992618,0.154093089384669
NGC2841,3.64,284.8,50,0.6111111111111112,5582.14603115408,True,True,False,0.138600410312858,0.0749874678796681,0.060820276391395
NGC2903,2.33,184.6,34,1.0,10629.526725839312,True,False,True,-0.5089484098195939,1.0251388705210591,0.9967532977068296
