galaxy,coef_mode_1,coef_mode_2,coef_mode_3,coef_mode_4,coef_mode_5,coef_mode_6,Rdisk_kpc,Vflat_kms,n_points,coverage_fraction,acceleration_scale,iso_beats_nfw_full,log_beats_nfw_full,central_overshoot_after_outer_nfw,inner_gap_mean_norm_after_outer_nfw,nfw_full_relative_rmse,iso_full_relative_rmse
CamB,1e-12,9.999999999999998e-13,0.5545691295232742,1e-12,1e-12,9.999999999999998e-13,0.47,0.0,9,0.6805555555555556,77.2784502522029,True,False,True,-1.635133134136564,1.000000000039757,0.9842923845481012
D631-7,1e-12,9.999999999999998e-13,0.5534652837698054,1e-12,1e-12,9.999999999999998e-13,0.7,57.7,16,0.7222222222222222,417.0874290352199,True,True,True,-1.5157153098156655,0.4767535444067078,0.1624360045981773
DDO064,0.3117468442217182,0.19111551941974686,0.007262282739738657,0.5902150387131467,1e-12,1.6472661585936098e-09,0.69,46.1,14,0.8194444444444444,649.1999963357367,True,True,True,-2.171423676418913,0.2895714849237076,0.2584068283909079
DDO154,0.01712468466607506,3.2254723088001166e-08,0.42812216679820747,5.278120699515834e-10,0.00030447290253661784,0.37694144911797167,0.37,47.0,12,0.5138888888888888,429.53188063063055,True,False,True,-0.7321401752088511,0.2367742132854574,0.0450850191762189
DDO161,0.3508063262861015,5.788253077541039e-07,0.47111826778206617,5.82492903983552e-11,0.12755581455468995,0.1787670808712232,1.22,66.3,31,0.8055555555555556,283.3412757201646,True,False,True,-0.8568804568728785,0.2709019806260007,0.180474210446668
DDO168,0.27356121976855236,7.389408191831128e-05,0.08138888720983652,0.6519630497873851,1.2908332269332444e-06,0.0014224244293812582,1.02,53.4,10,0.6527777777777778,566.9456128640777,True,True,True,-2.600276377730346,0.4003272733980779,0.1958907928396152
DDO170,1.199032914557281,0.0508848582392853,0.038039812844703466,0.4572161475471864,0.09862550089693575,0.08783558966982191,1.95,60.0,8,0.5416666666666666,331.684971868813,True,False,False,-0.1916167543280209,0.2105367769836831,0.0682682711863752
ESO079-G014,0.1786309860992567,0.003996103466274155,0.09887975750671259,0.14118734990735438,0.4751628557011782,0.14476020668836925,5.08,175.0,15,0.7361111111111112,1532.2896669161676,True,False,True,-0.6434897668122944,0.2902558728364813,0.3260791539679943
ESO116-G012,0.2815700635292672,0.2813564694740023,0.15554525447121761,0.4013238768325835,0.12778207239015957,0.0005637464584915785,1.51,109.1,15,0.9305555555555556,1381.018826768874,True,False,True,-0.6797263066165374,0.2010972603477228,0.2022567828107298
ESO563-G021,1e-12,9.999999999999998e-13,0.07767072769595594,0.08169130916884731,0.859302509468872,0.014261749927966617,5.45,314.6,30,0.9861111111111112,3481.8952940869826,True,False,False,-0.7757510425460835,0.6641604690216942,0.4311172843349894
F568-3,0.05158146068033389,0.2294710057894639,0.1027088950968183,2.572129637015981e-06,0.11698301836728713,0.509998579089289,4.99,0.0,18,0.7638888888888888,840.5027967096203,True,True,False,0.0564520938542622,0.4331172213354495,0.2202421319589017
F568-V1,0.1927121743717464,0.4178888786848588,1.2235420334183871e-11,0.09101589631378286,0.3145971654929191,0.14353111949220282,2.85,112.3,15,0.9166666666666666,1664.1943341870858,True,False,True,-0.4478010710545007,0.5052343839264967,0.0722158414700284
F571-8,1e-12,9.999999999999998e-13,0.009659187562016615,0.46428010799615754,0.16988886352029595,9.999999999999998e-13,3.56,139.7,13,0.8194444444444444,1672.8176940731032,True,True,True,-1.4514406791706274,1.1132837989861752,0.8159366417780421
F574-1,0.21849282488809668,0.42563697483669205,0.0029253836783199472,0.02459309059579583,0.11319100941499997,0.30868986342033466,4.46,97.8,14,0.6944444444444444,983.677814534313,True,False,True,-0.651930197521813,0.3222281497895203,0.0626731560890878
F583-1,1e-12,0.23754010610672135,0.03846064466353854,0.3292547369371711,0.2685446048087091,0.05247889955842946,2.36,85.8,25,0.9444444444444444,721.5980637636083,True,False,True,-0.9832325573559194,0.3844240920324252,0.2245113831973204
F583-4,0.27490490736135553,0.43216900067003744,0.15037947167667076,0.1486397348848751,0.012171188814406507,0.26257894060153675,1.93,0.0,12,0.7777777777777778,588.8303189811917,False,True,False,0.0134613857680155,0.1664459905740594,0.2061846882797526
IC2574,0.07315390610793397,0.08484008184805648,0.6546494866257911,0.006248868204306147,0.28233815708990084,0.12078850887051797,2.78,66.4,34,0.7083333333333334,273.1022297557992,True,True,True,-0.477876474988598,0.3767628386485591,0.1372712507834435
IC4202,1e-12,9.999999999999998e-13,0.06812300357146904,0.0001621172785199625,0.45273970749049613,0.019618197289902956,4.78,242.6,32,0.8888888888888888,3979.067176437043,True,True,False,-0.4961145604516455,0.9676031153468446,0.8894781656842603
KK98-251,0.06772994808603146,0.2359437638677497,1.9254166647117586e-05,0.45124524513736297,0.294242442965456,2.0970616406466323e-05,1.34,33.7,15,0.6388888888888888,213.95607745076484,True,True,True,-1.610191386313168,0.4102883467304865,0.1359278684382929
NGC0024,0.07329339157312771,0.6372979230026355,4.168826084464826e-07,0.1162317284531962,0.07028081959795099,0.07120588454136682,1.34,106.3,29,1.0,3580.62899103139,True,False,True,-0.2670392258719555,0.3340210223859662,0.1080713904427786
NGC0055,0.16801221315531545,0.21804067914084604,0.016435139395540466,0.016196809902497042,0.2908468677574753,0.24050883723893157,6.11,85.6,21,0.625,479.0613858695653,True,True,True,-0.5135297252575544,0.2219661619636956,0.0725047744059388
NGC0100,0.023695836045341968,0.06396412282596352,0.16256243980773438,0.3756138612342132,0.11456735368267246,0.22931207608020557,1.66,88.1,21,0.9027777777777778,765.6968796992479,True,True,True,-0.8724116928758939,0.3238578947500301,0.061004825856757
NGC0247,0.315314864726054,0.5488822344481821,0.20422414501204295,0.07203939988431818,1.5516984097795677e-07,0.17539732451393444,3.74,104.9,26,0.75,838.1642590527624,False,False,False,0.0689511049583253,0.1239726684393343,0.1707855523745081
NGC0289,1.2481539491687728,1.5157932271196344e-10,0.009842822304268006,0.034165403520266535,0.2871744313109313,2.717861876209495e-06,6.74,163.0,28,1.0,1899.112208379829,False,True,False,0.3936738634834794,0.5916294837401356,0.7626407080748212
NGC0300,0.2849177699269093,0.03268863974819958,0.018819635119211493,0.3522786078717719,0.1507255430341587,0.3853789981487425,1.75,93.3,25,0.7222222222222222,962.9290066181007,True,False,False,-0.0187451095282832,0.1827239558362437,0.1120517279157171
NGC0801,0.8319464920287616,0.13346791923858764,0.010450498373863446,0.0009689180078397867,9.890232885206882e-08,0.0730461539701702,8.72,220.1,13,0.9444444444444444,3162.6517139480034,True,True,False,0.3492572006032196,0.7912811236968506,0.6874809599167611
NGC0891,2.4544447599817363e-05,9.999999999999998e-13,0.22620529854456212,1e-12,1e-12,9.999999999999998e-13,2.55,216.1,18,0.8333333333333334,3584.8517388111536,True,True,True,-0.8606894572366669,1.084893458136537,0.9993856690951208
NGC1003,0.4949267784019662,0.40949543714199443,0.3455412203423416,0.4274963811114428,0.01090647044550838,3.8216388890113854e-09,1.61,109.8,36,0.6666666666666666,602.0561571420582,False,True,False,0.1496127059070421,0.192803607620898,0.1790986171820375
NGC1090,1.0603653579871713e-10,0.00023093166108383988,0.005483600148945834,0.2842645946518265,0.7257029727757305,0.029407867652882662,3.53,164.4,24,1.0,1221.8770805926254,True,False,False,-0.559768508536927,0.8732443692269534,0.5202708966427029
NGC2403,0.3241277504522219,0.8690528745277042,0.2857731488584063,0.04842674779820808,7.575382471998361e-05,0.00042687912390085753,1.39,131.2,73,1.0,1819.9691674834633,False,True,False,0.0390552740176021,0.1803454644566505,0.4606127437187147
NGC2683,0.306550562313259,1.2204080232777479,0.10822547346960153,0.44261466775172836,0.0023704105974859434,0.0003674683059009399,2.18,154.0,11,0.5138888888888888,1695.342056357199,False,False,False,0.1225507730997325,0.189906831992618,0.154093089384669
NGC2841,0.993691414644266,0.8222142671778229,0.0033094920080626094,0.16769966088975063,0.1471104053399567,0.0333878182816792,3.64,284.8,50,0.6111111111111112,5582.14603115408,True,True,False,0.138600410312858,0.0749874678796681,0.060820276391395
NGC2903,1e-12,9.999999999999998e-13,0.042662508344455854,0.03346439201603978,1e-12,0.0684192526868872,2.33,184.6,34,1.0,10629.526725839312,True,False,True,-0.5089484098195939,1.0251388705210591,0.9967532977068296
NGC2915,1e-12,9.999999999999998e-13,0.7550401808835177,2.1803878899499155e-10,1e-12,9.999999999999998e-13,0.55,83.5,30,0.7361111111111112,1319.9911553834372,True,False,False,-0.6482806237581799,0.7346607528064881,0.5141316692840897
NGC2955,0.098702499630691,2.2511450754085155e-05,1e-12,1e-12,1e-12,0.34765493158436406,18.76,0.0,24,0.5833333333333334,2802.082736582373,True,False,True,-1.4293703746745463,0.7748623326231409,0.8924528400632029
NGC2976,0.06411529125745018,0.22872757798214857,1.0418834254793419,0.16565434212759017,0.2891576830773549,0.0412133459035597,1.01,85.4,27,0.625,1200.310783382122,True,True,True,-0.7902180496468252,0.4789255024941256,0.1684936940365854
NGC2998,0.4069940167649565,0.1846086824188251,0.019634232363585264,6.114959882160821e-10,1e-12,3.257640096374354e-05,6.2,209.9,13,0.9444444444444444,7575.79856855336,True,True,False,0.5787250434367158,0.5287079563630025,0.5955379520576655
NGC3109,0.08762612841407182,0.11840127644643267,0.27321004179399055,0.22062003532860275,0.25760607299629257,0.008668311545920659,1.56,66.2,25,0.8055555555555556,656.2968059701493,True,True,True,-0.4747230475926165,0.3317588900109423,0.0501147378398509
NGC3198,1e-12,0.3156582167100303,0.07026463522005436,0.2600634983009705,0.24742289470965895,0.12790531941492048,3.14,150.1,43,1.0,1409.442880952242,True,False,True,-0.712611373448387,0.9560066497349744,0.5747754703210288
NGC3521,0.5025221419461479,0.6531050792341782,0.22247382983949543,0.0003888268920026406,2.7651081398225586e-12,0.0001371471446563721,2.4,213.7,41,0.9722222222222222,3145.2359665212357,False,True,False,0.1166247820776524,0.3469099364251325,0.6044005203281476
NGC3726,1e-12,9.999999999999998e-13,0.098487824429369,0.43564325734135634,1e-12,0.33568377902064184,3.4,168.0,12,0.5972222222222222,723.7959208022196,False,True,False,-0.1047850739778823,0.3163623464476538,0.2491963044426006
NGC3741,0.025847594239323913,0.5938762253558949,0.43933150158091716,0.17192879012058856,9.165047933060317e-05,2.2361688613687033e-07,0.2,50.1,21,0.5555555555555556,448.39663605471367,False,False,False,-0.0458216108977504,0.1246594698211628,0.3136087057068382
NGC3769,1e-12,9.999999999999998e-13,0.005246895359085895,0.5988672637161553,0.3047949011592062,3.6483764211429707e-06,3.38,118.6,12,0.7916666666666666,730.5700719096711,True,False,True,-1.0382884778577928,0.7306382349187124,0.3970810972606511
NGC3877,1e-12,9.999999999999998e-13,1e-12,1e-12,0.7011546172467287,9.999999999999998e-13,2.53,168.4,13,0.7361111111111112,2129.740064977971,True,False,False,-0.5062150080567638,0.8783330459808825,0.7656528001093621
NGC3893,3.3278329657385824e-06,1.4165238419194476e-08,0.07224483738895371,0.5562831903185211,0.3028613031588072,1.5190398081187491e-06,2.38,174.0,10,0.6944444444444444,1814.5307951633458,True,False,True,-0.6041762745994818,0.4933527711728156,0.2567405263598045
NGC3917,1e-12,0.07652900724381752,0.09348746173219871,0.21254590963919623,0.4999869952954044,0.11874298540823465,2.63,135.9,17,0.8055555555555556,1318.776756590008,True,False,True,-0.6315854972598329,0.353451757934389,0.1699440887283503
NGC3953,0.0821452931923582,0.6807409993985348,0.018442571217188036,0.002498041977386372,0.1338862082217674,0.12452953833205992,4.89,220.8,8,0.4305555555555556,2404.0127530944105,True,False,False,0.145075008500455,0.0851713405802888,0.0612432396935362
NGC3972,0.00025712947362677553,0.19269772860366982,0.22932812066706515,0.023259634432385257,0.3044731759252597,0.314987797214366,2.18,132.7,10,0.6527777777777778,1628.5312302997463,True,False,False,0.0488494095845537,0.2598526067324092,0.1452090959564149
NGC3992,1.8604110612784415,1.7275548475071798,0.03611894341246584,0.048061969564182905,0.04450866126170867,0.016710459903228857,4.96,241.0,9,0.4166666666666667,2153.6813419672826,False,False,False,0.0226692538158901,0.0405930176452062,0.036724274982362
NGC4010,0.48368493163962023,2.1014345638304272e-09,1.529111627981636e-06,0.6390449512555111,1.97513745994258e-06,8.398575137214767e-11,2.81,125.8,12,0.7083333333333334,1033.0445570231225,True,True,True,-3.2153041500139143,0.3366517869854396,0.3189328795512763
NGC4013,0.23081809968809233,0.7907794966349373,0.05720438293424136,0.0438318902798265,0.10494116095812893,0.5374656690320623,3.53,172.9,36,0.4722222222222222,1118.9197910731948,False,True,False,0.3379201588819053,0.21902355217199,0.2806133596274121
NGC4088,1e-12,9.999999999999998e-13,0.3744663860469337,1e-12,1e-12,0.06737051739454868,2.58,171.7,12,0.7083333333333334,623.8245073040525,True,True,True,-1.2096855223558902,1.10386167399003,0.8301585292137292
NGC4100,4.905661121036548,0.012473038804051376,0.01536104045370175,0.3735819538361016,0.03223724711738154,0.0006101986394487812,2.15,158.2,24,0.5416666666666666,2027.3019173986074,False,False,True,-0.6315117113407854,0.1993353366090273,0.141114282767201
NGC4157,1e-12,9.999999999999998e-13,0.3510067856502691,0.3276018351362147,1e-12,9.999999999999998e-13,2.32,184.7,17,0.6805555555555556,972.5672033357049,True,False,False,-0.5402012970842085,0.6980256924503887,0.5220194597182147
NGC4183,0.5577559210923474,0.5348040312624288,0.00045243833066147915,0.17395817513412096,0.23299275543381998,0.11192198869535501,2.79,110.6,23,0.9027777777777778,1038.653734062846,True,False,False,0.003425181347034,0.1139924085567744,0.1497643231799192
NGC4217,1e-12,9.999999999999998e-13,0.0852545739484097,1e-12,1e-12,9.999999999999998e-13,2.94,181.3,19,0.8472222222222222,5987.51249471349,True,True,True,-0.9207755588842388,1.0279271545699429,1.00579441780205
NGC4559,0.025199739223921762,0.5113370042783407,0.3496583557170781,0.05513419773915067,0.2785096835096799,0.03752214611674823,2.1,121.2,32,0.9305555555555556,744.2530387385708,True,False,True,-0.4685041344317726,0.2500027177270847,0.2111699179848194
NGC5005,1e-12,0.33739839589629556,0.011052325768200878,0.0011462127856846104,0.09431420098362409,0.006352014506169652,9.45,262.2,18,0.4583333333333333,3939.2865442492584,True,True,True,-0.7272436822806307,1.0957473137434823,0.9283830449607712
NGC5033,1e-12,1.0575347982395858e-07,0.007453319168449622,0.11206971492658609,0.21429976080948523,2.2228893102444532e-07,5.16,194.2,22,1.0,4816.834445368799,True,False,True,-0.7180537805184939,1.162831049895593,0.9921961228270108
NGC5055,1e-12,9.999999999999998e-13,0.3252618252712708,0.07304044580673952,2.3921518279636726e-10,1.0548685107734158e-10,3.2,179.0,28,1.0,1437.995122340203,True,False,True,-1.0429714411872395,1.161420222237857,0.9538677993318904
NGC5371,1.025818985295348,0.12221019812707833,1e-12,1e-12,1e-12,1.227738677176786e-06,7.44,209.5,19,0.9166666666666666,3500.3729911964597,True,True,False,0.6190607100432223,0.4493957881627798,0.1077238547075524
NGC5585,0.4118133272438999,9.999999999999998e-13,0.17861107984637992,0.5390464068388978,0.12912062462445434,1.915331363832587e-10,1.53,90.3,24,0.9583333333333334,758.3591246646866,True,True,True,-1.19451379974699,0.3841755284815132,0.4550679947930022
NGC5907,1.885655121004738,1.1451572120751508,5.089374701082662e-05,8.33716838018366e-06,0.0015996403194965035,0.07753594820944418,5.34,215.0,19,0.6111111111111112,2047.1557334231736,True,True,False,0.3602597656065913,0.2329537923631029,0.0797072085778722
NGC5985,0.15627848173010409,0.9250084823502822,1.4686447498110769e-12,5.935461017481931e-09,0.05478691010187824,0.03275755460609025,7.01,293.6,33,0.6527777777777778,5424.409426104256,True,False,False,0.2687523525830301,0.0882898694843193,0.0834879091853247
NGC6015,0.4340568350654561,0.8630738643376403,0.06691988929979709,1.1391666646591956e-06,0.2271207157073535,0.003644187202917009,2.3,154.1,44,1.0,2344.5925182849332,True,True,False,0.3633074246610042,0.2948893271934401,0.2073396218752692
NGC6195,0.1697909463067683,9.999999999999998e-13,0.0025806857207120227,0.14775324768000916,0.06906466328083768,0.0954781184484054,13.94,251.7,23,0.6805555555555556,1874.0259957567735,True,True,False,-0.2319225324442666,0.9796253357426702,0.9329847241010516
NGC6503,1.7102434268927638,6.009222057613203e-06,0.0063585253610988135,0.41451485264750015,0.1556404865991217,1.486718833264518e-05,2.16,116.3,31,0.8888888888888888,1288.541743634041,True,False,False,0.0377657796130772,0.3590155008203843,0.547540718311081
NGC6674,0.14852040889118426,1.1742827058411547,1e-12,7.384055277015871e-06,0.40899383001974754,2.09835309466428e-05,6.04,241.3,15,0.8472222222222222,2807.1976917771917,True,True,False,0.4119112215042603,0.2853365174957876,1.0397291174900567
NGC6946,1.6784173859890324e-08,0.0332180788895973,0.014435340521325047,0.06166740979084667,1e-12,2.442908384573695e-11,2.44,158.9,58,1.0,10454.278383277915,True,False,True,-0.2953896312178174,1.0159722913986715,0.996087075566479
NGC7331,1.9519072864174073e-07,9.999999999999998e-13,0.20025250130981914,0.22564729542773634,7.438663783167862e-05,0.00013909439016475929,5.02,239.0,36,0.7361111111111112,1797.9693675634314,True,True,True,-0.9951914994714646,1.1059739653404042,0.928471884666742
NGC7793,0.490714512067201,0.34121949499401616,0.02403024109930776,0.34406337217487565,1e-12,9.999999999999998e-13,1.21,0.0,46,0.9305555555555556,1884.4531239622113,True,False,True,-1.379161813963446,0.5937327054813123,0.556613144971495
NGC7814,2.8546649267290642e-12,7.940435462857002e-09,0.04219837506676382,0.2613883319295557,0.06221831929626141,0.0001552818276753514,2.54,218.9,18,0.9861111111111112,5752.807919214848,True,False,True,-0.7099129173496033,1.1194938093104612,0.9515419151684836
UGC00128,0.2587142009338225,0.8943829777089208,0.038994411573998196,0.14986918212431352,0.2175328862770742,0.0808498502851212,5.95,129.3,22,1.0,685.5126603861332,True,False,False,-0.0770116143619487,0.3578368940304079,0.0767338105939259
UGC00191,0.33644708161669645,0.13475372809976852,1.0208442524982066e-05,0.08021085951498243,0.48890995781190455,0.15006300671007847,1.58,0.0,9,0.7916666666666666,1216.4951059298614,True,False,False,-0.2008006373208848,0.2819669224747991,0.1497576759167188
UGC00731,0.4119067813141997,0.43156162037396145,9.74731282505611e-05,0.16301288685915133,0.09810012146799507,0.24242940233503707,2.3,73.3,12,0.7083333333333334,699.2136851431939,False,False,True,-0.2707024763941584,0.086503935991565,0.0891636545592185
UGC01281,0.05375797610270583,0.23379099386100097,0.00010978321843000136,0.3667815970663098,0.30807002165897435,0.02235451382331231,1.63,55.2,25,0.7222222222222222,542.8353977272727,True,True,True,-1.3646563694005929,0.3439962797655919,0.176889456741981
UGC02259,1.092473817491695,0.304809405564941,0.01167805573424106,0.07951180938884905,0.20759135911892282,0.1461678902298223,1.62,86.2,8,0.5972222222222222,1625.7915762167552,False,True,False,0.1509184641819115,0.0289948904585473,0.0630767368193806
UGC02487,0.1164893585386615,1.4822682671287282,0.06419913100291973,0.045514644643223044,0.007452965912179532,0.0003423011918381057,7.89,332.0,17,0.5277777777777778,4094.2754942660367,False,False,False,-0.1177116340635041,0.0816270692269939,0.057979593114439
UGC02885,0.39794485042387023,0.007634210631413107,0.014468551096880935,0.020724005415062523,0.1044212605012996,0.07175835411939938,11.4,289.5,19,0.9305555555555556,5603.513657486513,False,True,False,0.4062522038364998,0.8096586642352661,0.9233802818577944
UGC02916,1e-12,9.999999999999998e-13,1e-12,0.04706111623554483,0.0528214772226816,9.999999999999998e-13,6.15,182.7,43,0.9166666666666666,9957.453089650635,True,False,False,-0.0061538699911431,0.9818975155173176,0.9965125642560948
UGC02953,0.005650080203262787,9.999999999999998e-13,5.903246081306457e-05,0.028850206060237832,0.031947537553818524,6.531835175319571e-06,3.55,264.9,115,1.0,55396.24176592737,True,False,False,0.129609857979122,0.9854740037823186,0.9978250320483784
UGC03205,1e-12,0.3526457852376443,1e-12,1e-12,0.40668062806418165,0.07709511295524249,3.19,219.6,48,1.0,4529.202596916463,True,True,False,0.2784079537858173,0.5845356840638143,0.6398016796132653
UGC03546,1e-12,9.999999999999998e-13,0.016670141395133724,0.0384139155708808,1e-12,9.999999999999998e-13,3.79,196.9,30,0.9861111111111112,16903.32450148249,True,True,True,-0.681783779770636,1.0299671792871516,1.0042263652584495
UGC03580,1e-12,9.999999999999998e-13,0.06388207255017658,0.09512080374755279,0.008390524662582695,9.999999999999998e-13,2.43,126.2,47,1.0,3200.986232569795,True,True,True,-0.5550954665574948,1.0365369029726412,1.002347969102068
UGC04278,0.26233752498468954,0.205219895576142,0.34922306769553885,0.3740222266949364,3.680465115851357e-05,0.1512431355728022,2.21,91.4,25,0.7222222222222222,824.3728401631148,True,True,True,-0.980425113090676,0.2877742846264675,0.2025438248364182
UGC04325,0.2229210675151614,0.44596217710733793,7.711063885442673e-07,1.0407000531699776e-05,0.149619899414151,0.25307541699622266,1.86,90.9,8,0.5833333333333334,2106.2718168570264,True,False,False,-0.1756299447041323,0.2047265179041592,0.0824906540334163
UGC04483,0.30302374503648355,0.0018835810860590141,0.1574506782679654,0.510299566270987,5.508391346542775e-05,0.16203821106280922,0.18,0.0,8,0.7777777777777778,389.12267514677103,True,False,True,-0.926658966063846,0.3258082290477809,0.150373454007141
UGC04499,0.033983853045797,0.07786295717518553,0.1065108085320608,0.18520967542665714,0.39003123365997305,0.1898626732552481,1.73,72.8,9,0.625,654.0337064220181,True,False,True,-0.4697454034600598,0.3008560220475489,0.1156975266859712
UGC05005,0.06937701640217626,0.21806070709769718,0.3227074758003895,0.26178159003719453,0.20371298604902446,0.03321411167790196,3.2,98.9,11,1.0,382.7209848125297,True,False,True,-0.8868062503916391,0.3237510221059797,0.0584969094170113
UGC05253,0.02314488324243868,0.003463373440422522,1e-12,0.005903281326551767,0.016237965274910438,0.01647507451344676,8.07,213.7,73,0.9444444444444444,35694.19795453443,True,False,False,0.1559643102291408,0.98914808106724,0.9982949910969416
UGC05716,2.2275973413087145,0.39343816383721647,0.16065168613793707,0.1553972288984791,0.09174145242618517,0.11432648390497413,1.14,73.1,12,0.625,698.3799202246994,False,False,False,-0.0398909814860498,0.0712969935353455,0.2888611432553584
UGC05721,0.12708774255857772,0.684110202839337,0.32374799970458396,0.1884897673798813,0.10943934449843293,4.8073821527018876e-05,0.38,79.7,23,1.0,2508.484393939393,True,False,True,-1.043743577126782,0.3409618961263191,0.2115322571940977
UGC05750,0.0001460426394918791,0.12849185919357506,0.03207671061872691,0.44727374309297063,0.25469227032365727,0.0524104681527879,3.46,0.0,11,0.9444444444444444,358.1535207823961,True,True,True,-1.725136378384038,0.4639184628811588,0.147718011838012
UGC05764,0.39343880428015937,0.2195139624812751,1.2878016394118694e-08,0.001889519383588962,0.32142112031324516,0.1638346214462885,1.17,0.0,10,0.6527777777777778,1188.0663117639529,True,False,True,-4.020568698931951,0.2130635465268916,0.1172707609841109
UGC05829,0.15743666589569918,0.38806564621186895,0.26935878098206395,0.10251862169542449,0.12691882486120284,0.16841118122303841,1.99,0.0,11,0.6805555555555556,477.6453184713375,False,False,False,0.0185777448303652,0.124547400300717,0.1417586544791031
UGC05918,0.2807332516633941,0.354597314466147,0.047220911101778576,0.0690695503144164,0.11503677455579636,0.2560230076026899,1.66,0.0,8,0.5833333333333334,481.4706900540545,True,False,False,-0.1206952258721002,0.146301883627387,0.0361946394199092
UGC05986,0.001067217603488458,0.24500594734444175,0.00198738197990706,0.4711600903907333,0.1272953417031437,0.1367116827538783,1.67,113.0,15,0.7638888888888888,1708.966861702128,True,False,True,-1.3158000773049925,0.2811669786442917,0.0868022887388575
UGC06399,0.10699271732643416,0.18123512317597737,0.025735526110197002,0.28697184218066135,0.23907667063393565,0.18436263764194066,2.05,85.0,9,0.625,931.9330791498951,True,False,True,-0.5999836628125458,0.2413152545772649,0.0391635726368826
UGC06446,0.00045282349341725295,0.8465402722162207,0.032756670918136305,0.15337125755126801,0.031239776350885557,0.21947693674946045,1.49,82.2,17,0.8055555555555556,1170.6333311059086,False,False,False,-0.1670252494349963,0.1905750919207282,0.1336021238814221
