family,eta_mode,params,eta_params,rotation_mse,residual_mse,lensing_mse,smoothness,path_penalty,weak_field_max,complexity,total_score,flatness_metric,warp_flatness_metric,delta_g_positive_fraction,mass_monotonic_fraction,rho_nonnegative_fraction,oscillation_score,eta_mean,eta_span
log_warp,no_slip,"{""A"": 54914.28571428571, ""r0"": 13.407151859613021}","{""eta"": 1.0}",2.076340432564446,2.0798112740455847,0.11803692442428602,3.7567403793364154,0.0,1.3903765626550855e-06,2,4.785224832521035,0.011720197407664728,0.026540020116229697,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 50800.0, ""r0"": 11.723008346614838}","{""eta"": 1.0}",1.9534914199521867,1.930741793437157,0.15343651200992184,4.798189021147961,0.0,1.3841054861221657e-06,2,4.797452387492481,0.009170387083118197,0.02416479948287929,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 52171.428571428565, ""r0"": 11.723008346614838}","{""eta"": 1.0}",1.791043083947613,1.8149453150330108,0.20303559109410974,5.060755850052428,0.0,1.4063698890506053e-06,2,4.819574007181787,0.00951071744214524,0.024164799482879296,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 56285.71428571428, ""r0"": 13.407151859613021}","{""eta"": 1.0}",2.150236111986651,2.208322533104576,0.1542741408397965,3.9467250171264925,0.0,1.4111294867343496e-06,2,5.026479114904853,0.012033570297579146,0.026540020116229697,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 48057.142857142855, ""r0"": 10.25041904006358}","{""eta"": 1.0}",1.9000527248582915,1.8967765171215363,0.23235022728836088,6.396039398540895,0.0,1.393995374504196e-06,2,5.07404568282135,0.006984839795966656,0.021922035180098963,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 53542.857142857145, ""r0"": 13.407151859613021}","{""eta"": 1.0}",2.200340182114891,2.1515223814864814,0.1693960756546193,3.5714418991074623,0.0,1.3696236385758214e-06,2,5.122239135489934,0.011393011237496168,0.026540020116229697,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 59028.57142857143, ""r0"": 15.333241747510177}","{""eta"": 1.0}",2.519378286077178,2.5534801036156543,0.10415974619335303,2.9021531198460626,0.0,1.389549757043697e-06,2,5.227961565017435,0.014263009929769024,0.029036928346775414,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 49428.57142857143, ""r0"": 10.25041904006358}","{""eta"": 1.0}",1.6432398600275429,1.6847423505625065,0.37860049112316846,6.766301624069164,0.0,1.4178127484929612e-06,2,5.374336702673085,0.007341650885148768,0.02192203518009897,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 49428.57142857143, ""r0"": 11.723008346614838}","{""eta"": 1.0}",2.342556971591447,2.266865309186664,0.2064935659067938,4.542616203224292,0.0,1.3618410831937267e-06,2,5.4455583618477155,0.008813924984430002,0.0241647994828793,1.0,1.0,1.0,0.0,1.0,0.0
log_warp,no_slip,"{""A"": 57657.142857142855, ""r0"": 15.333241747510177}","{""eta"": 1.0}",2.473912918942516,2.4461137480444965,0.1808528294242543,2.7688664679384747,0.0,1.3702625191874536e-06,2,5.470383241615391,0.013958823866577992,0.029036928346775407,1.0,1.0,1.0,0.0,1.0,0.0
